                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.64,                 1.8223,                0.87936,                0.87971,                0.24568,                0.27314,                0.16648,                 1.2975,                 1.3009,                0.85043,             0.00041325,             0.00041325,             0.00041325
                      2,                 1.4211,                0.98634,                0.84268,                0.77828,                0.49931,                0.53699,                0.27965,                 1.4831,                0.88696,                0.84551,              0.0008217,              0.0008217,              0.0008217
                      3,                 1.4275,                0.89682,                0.84635,                0.78761,                0.52282,                0.57004,                0.33389,                 1.2613,                0.80233,                0.83117,              0.0012219,              0.0012219,              0.0012219
                      4,                 1.3407,                0.81585,                0.83253,                0.79347,                0.54984,                0.58907,                0.35184,                 1.2251,                0.75451,                0.83219,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.3163,                0.76513,                0.83085,                0.86661,                0.58638,                0.64818,                0.40865,                 1.1064,                0.65878,                0.82307,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.3113,                0.74156,                0.83004,                 0.8635,                0.60876,                0.67657,                0.43036,                  1.061,                0.62925,                0.81899,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.2534,                0.70832,                0.82335,                0.88639,                0.61702,                0.68244,                0.42104,                 1.0943,                0.60469,                0.82037,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2325,                0.68068,                0.81965,                0.80518,                 0.6143,                0.69875,                0.43177,                 1.0687,                0.61026,                0.81922,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2127,                0.66186,                0.81953,                0.78507,                0.65528,                0.70063,                0.42863,                 1.0735,                0.60531,                 0.8147,               0.001151,               0.001151,               0.001151
                     10,                 1.1965,                0.63698,                0.81776,                0.79782,                0.67847,                0.71639,                0.44353,                 1.0339,                0.56592,                0.81491,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.2328,                0.64561,                 0.8203,                0.80914,                0.69134,                0.73257,                0.45949,                 1.0449,                0.56153,                0.81302,              0.0011263,              0.0011263,              0.0011263
